,country,Date,t_3,t_2,t_1,arrival
363,52,31/12/2019,6.55,6.59,6.62,6.35
364,53,31/12/2013,4.48,4.65,4.9,5.11
365,53,31/12/2014,4.65,4.9,5.11,5.58
366,53,31/12/2015,4.9,5.11,5.58,6.13
367,53,31/12/2016,5.11,5.58,6.13,6.77
368,53,31/12/2017,5.58,6.13,6.77,7.3
369,53,31/12/2018,6.13,6.77,7.3,7.55
370,53,31/12/2019,6.77,7.3,7.55,7.55
371,54,31/12/2013,8.08,6.81,6.31,5.39
372,54,31/12/2014,6.81,6.31,5.39,5.33
373,54,31/12/2015,6.31,5.39,5.33,4.81
374,54,31/12/2016,5.39,5.33,4.81,4.24
375,54,31/12/2017,5.33,4.81,4.24,4.57
376,54,31/12/2018,4.81,4.24,4.57,4.92
377,54,31/12/2019,4.24,4.57,4.92,5.36
378,55,31/12/2013,4.37,4.91,5.01,5.74
379,55,31/12/2014,4.91,5.01,5.74,5.8
380,55,31/12/2015,5.01,5.74,5.8,5.7
381,55,31/12/2016,5.74,5.8,5.7,5.94
382,55,31/12/2017,5.8,5.7,5.94,6.15
383,55,31/12/2018,5.7,5.94,6.15,6.03
384,55,31/12/2019,5.94,6.15,6.03,6.1
385,56,31/12/2013,3.52,3.92,4.27,4.68
386,56,31/12/2014,3.92,4.27,4.68,4.83
387,56,31/12/2015,4.27,4.68,4.83,5.36
388,56,31/12/2016,4.68,4.83,5.36,5.97
389,56,31/12/2017,4.83,5.36,5.97,6.62
390,56,31/12/2018,5.36,5.97,6.62,7.17
391,56,31/12/2019,5.97,6.62,7.17,8.26
392,57,31/12/2013,4.77,4.96,4.54,4.78
393,57,31/12/2014,4.96,4.54,4.78,4.86
394,57,31/12/2015,4.54,4.78,4.86,5.36
395,57,31/12/2016,4.78,4.86,5.36,5.96
396,57,31/12/2017,4.86,5.36,5.96,6.25
397,57,31/12/2018,5.36,5.96,6.25,5.69
398,57,31/12/2019,5.96,6.25,5.69,5.88
399,58,31/12/2013,3.58,3.96,4.4,4.46
400,58,31/12/2014,3.96,4.4,4.46,4.6
401,58,31/12/2015,4.4,4.46,4.6,5.49
402,58,31/12/2016,4.46,4.6,5.49,6.71
403,58,31/12/2017,4.6,5.49,6.71,7.62
404,58,31/12/2018,5.49,6.71,7.62,6.6
405,58,31/12/2019,6.71,7.62,6.6,5.43
406,59,31/12/2013,4.07,4.5,4.98,5.26
407,59,31/12/2014,4.5,4.98,5.26,5.22
408,59,31/12/2015,4.98,5.26,5.22,5.05
409,59,31/12/2016,5.26,5.22,5.05,5.32
410,59,31/12/2017,5.22,5.05,5.32,5.59
411,59,31/12/2018,5.05,5.32,5.59,6.12
412,59,31/12/2019,5.32,5.59,6.12,6.15
413,60,31/12/2013,2.94,3.35,3.83,4.77
414,60,31/12/2014,3.35,3.83,4.77,4.97
415,60,31/12/2015,3.83,4.77,4.97,5.24
416,60,31/12/2016,4.77,4.97,5.24,4.94
417,60,31/12/2017,4.97,5.24,4.94,4.87
418,60,31/12/2018,5.24,4.94,4.87,7.3
419,60,31/12/2019,4.94,4.87,7.3,9.11
420,61,31/12/2013,2.03,2.71,4.11,4.95
421,61,31/12/2014,2.71,4.11,4.95,5.0
422,61,31/12/2015,4.11,4.95,5.0,5.26
423,61,31/12/2016,4.95,5.0,5.26,5.39
424,61,31/12/2017,5.0,5.26,5.39,6.48
425,61,31/12/2018,5.26,5.39,6.48,7.2
426,61,31/12/2019,5.39,6.48,7.2,7.73
427,62,31/12/2013,6.11,3.77,4.67,4.04
428,62,31/12/2014,3.77,4.67,4.04,4.8
429,62,31/12/2015,4.67,4.04,4.8,6.02
430,62,31/12/2016,4.04,4.8,6.02,5.27
431,62,31/12/2017,4.8,6.02,5.27,4.95
432,62,31/12/2018,6.02,5.27,4.95,4.95
433,62,31/12/2019,5.27,4.95,4.95,4.95
434,63,31/12/2013,2.51,2.88,3.58,4.21
435,63,31/12/2014,2.88,3.58,4.21,4.5
436,63,31/12/2015,3.58,4.21,4.5,4.78
437,63,31/12/2016,4.21,4.5,4.78,5.01
438,63,31/12/2017,4.5,4.78,5.01,5.6
439,63,31/12/2018,4.78,5.01,5.6,6.2
440,63,31/12/2019,5.01,5.6,6.2,6.61
441,64,31/12/2013,1.22,3.03,3.39,4.13
442,64,31/12/2014,3.03,3.39,4.13,3.79
443,64,31/12/2015,3.39,4.13,3.79,4.0
444,64,31/12/2016,4.13,3.79,4.0,3.85
445,64,31/12/2017,3.79,4.0,3.85,4.57
